rmssd, sdnn , pnn50, bpm, spo2, activity, label
 44.2,  55.9,  32.5,  55, 98.4,        0,     0
 45.2,  49.9,  16.3,  77, 97.0,        0,     1
 25.0,  31.7,  17.9,  80, 98.0,        0,     1
 67.3,  90.4,  28.8,  73, 98.3,        0,     0
 35.3,  40.8,   9.8,  81, 97.9,        1,     1
 35.7,  43.7,  10.3,  77, 97.6,        0,     1
 43.4,  51.6,  35.9,  59, 98.0,        0,     0
 44.7,  55.5,  10.5,  69, 96.5,        0,     1
 15.6,  18.4,   7.2,  86, 97.7,        0,     2
 25.7,  30.3,   1.7,  72, 95.7,        0,     2
 24.4,  28.8,   5.7, 107, 96.0,        1,     2
 75.9,  91.3,  21.3,  49, 97.8,        0,     0
 48.2,  60.1,  11.2,  83, 98.0,        0,     1
 13.5,  14.7,   0.0,  92, 97.8,        0,     2
 38.4,  49.9,  10.6,  79, 97.2,        1,     1
 24.3,  28.6,   3.7,  91, 96.5,        0,     2
  8.8,  10.9,   0.0,  78, 96.1,        0,     2
 18.5,  21.7,   5.7,  69, 97.0,        0,     2
 80.6,  98.3,  35.8,  64, 98.6,        0,     0
 17.5,  18.6,   2.5,  98, 96.5,        1,     2
 19.1,  22.7,   8.2,  91, 95.8,        0,     2
 69.6,  76.3,  18.8,  58, 97.6,        0,     0
 15.8,  17.5,  11.8,  91, 95.8,        0,     2
 44.3,  56.5,  15.5,  77, 98.4,        1,     1
 12.9,  13.9,   2.9,  98, 96.5,        1,     2
 29.7,  34.1,   7.1,  90, 98.6,        0,     2
 28.7,  33.4,   7.1,  63, 97.7,        1,     1
 18.0,  21.3,  10.0,  90, 95.5,        0,     2
 18.4,  20.4,   2.9,  79, 95.9,        0,     2
 39.9,  43.2,   9.1,  75, 96.7,        2,     1
 65.7,  73.0,  29.2,  70, 98.8,        0,     0
 23.2,  28.5,  14.4,  88, 97.6,        1,     1
 62.0,  70.8,  28.1,  55, 96.8,        1,     0
 15.3,  19.7,  25.5,  79, 97.7,        0,     1
 41.1,  51.9,  24.9,  94, 98.1,        0,     1
 20.3,  25.3,   3.6,  89, 95.4,        1,     2
 35.9,  38.7,  11.4,  92, 97.8,        0,     2
 49.0,  66.0,  40.4,  64, 98.3,        0,     0
 20.1,  22.9,   6.6,  84, 96.1,        0,     2
 33.7,  42.4,  14.0,  88, 97.2,        0,     1
